baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,SKY,20250630,1900,4,55,124
20250630,0500,PTY,20250630,1900,0,55,124
20250630,0500,POP,20250630,1900,30,55,124
20250630,0500,WAV,20250630,1900,-999,55,124
20250630,0500,PCP,20250630,1900,강수없음,55,124
20250630,0500,REH,20250630,1900,85,55,124
20250630,0500,SNO,20250630,1900,적설없음,55,124
20250630,0500,TMP,20250630,2000,26,55,124
20250630,0500,UUU,20250630,2000,0.8,55,124
20250630,0500,VVV,20250630,2000,2,55,124
20250630,0500,VEC,20250630,2000,202,55,124
20250630,0500,WSD,20250630,2000,2.2,55,124
20250630,0500,SKY,20250630,2000,4,55,124
20250630,0500,PTY,20250630,2000,0,55,124
20250630,0500,POP,20250630,2000,30,55,124
20250630,0500,WAV,20250630,2000,-999,55,124
20250630,0500,PCP,20250630,2000,강수없음,55,124
20250630,0500,REH,20250630,2000,85,55,124
20250630,0500,SNO,20250630,2000,적설없음,55,124
20250630,0500,TMP,20250630,2100,25,55,124
20250630,0500,UUU,20250630,2100,0.6,55,124
20250630,0500,VVV,20250630,2100,2,55,124
20250630,0500,VEC,20250630,2100,197,55,124
20250630,0500,WSD,20250630,2100,2.1,55,124
20250630,0500,SKY,20250630,2100,4,55,124
20250630,0500,PTY,20250630,2100,0,55,124
20250630,0500,POP,20250630,2100,30,55,124
20250630,0500,WAV,20250630,2100,-999,55,124
20250630,0500,PCP,20250630,2100,강수없음,55,124
20250630,0500,REH,20250630,2100,90,55,124
20250630,0500,SNO,20250630,2100,적설없음,55,124
20250630,0500,TMP,20250630,2200,25,55,124
20250630,0500,UUU,20250630,2200,0.5,55,124
20250630,0500,VVV,20250630,2200,2.1,55,124
20250630,0500,VEC,20250630,2200,193,55,124
20250630,0500,WSD,20250630,2200,2.2,55,124
20250630,0500,SKY,20250630,2200,4,55,124
20250630,0500,PTY,20250630,2200,0,55,124
20250630,0500,POP,20250630,2200,30,55,124
20250630,0500,WAV,20250630,2200,-999,55,124
20250630,0500,PCP,20250630,2200,강수없음,55,124
20250630,0500,REH,20250630,2200,90,55,124
20250630,0500,SNO,20250630,2200,적설없음,55,124
20250630,0500,TMP,20250630,2300,25,55,124
20250630,0500,UUU,20250630,2300,0.5,55,124
20250630,0500,VVV,20250630,2300,2,55,124
20250630,0500,VEC,20250630,2300,194,55,124
20250630,0500,WSD,20250630,2300,2.1,55,124
20250630,0500,SKY,20250630,2300,4,55,124
